===================Training Loss(Thu Jul 11 17:12:44 2019)=================
(epoch: 59, iters: 200, time: 0.125, data:2.439) loss_G: 1.295 loss_D: 0.677 
(epoch: 59, iters: 400, time: 0.125, data:19.180) loss_G: 1.243 loss_D: 0.677 
(epoch: 59, iters: 600, time: 0.125, data:35.901) loss_G: 1.161 loss_D: 0.688 
(epoch: 60, iters: 200, time: 0.125, data:2.459) loss_G: 1.749 loss_D: 0.675 
(epoch: 60, iters: 400, time: 0.120, data:19.170) loss_G: 0.993 loss_D: 0.691 
(epoch: 60, iters: 600, time: 0.125, data:35.881) loss_G: 0.788 loss_D: 0.707 
(epoch: 61, iters: 200, time: 0.125, data:2.459) loss_G: 1.044 loss_D: 0.674 
(epoch: 61, iters: 400, time: 0.125, data:19.170) loss_G: 1.433 loss_D: 0.680 
(epoch: 61, iters: 600, time: 0.130, data:35.901) loss_G: 1.083 loss_D: 0.697 
(epoch: 62, iters: 200, time: 0.125, data:2.429) loss_G: 1.333 loss_D: 0.672 
(epoch: 62, iters: 400, time: 0.130, data:19.160) loss_G: 1.145 loss_D: 0.685 
(epoch: 62, iters: 600, time: 0.120, data:35.901) loss_G: 1.375 loss_D: 0.678 
(epoch: 63, iters: 200, time: 0.125, data:2.459) loss_G: 1.178 loss_D: 0.693 
(epoch: 63, iters: 400, time: 0.125, data:19.220) loss_G: 1.567 loss_D: 0.665 
(epoch: 63, iters: 600, time: 0.125, data:35.941) loss_G: 1.561 loss_D: 0.691 
(epoch: 64, iters: 200, time: 0.125, data:2.449) loss_G: 1.498 loss_D: 0.676 
(epoch: 64, iters: 400, time: 0.125, data:19.180) loss_G: 1.369 loss_D: 0.670 
(epoch: 64, iters: 600, time: 0.125, data:35.901) loss_G: 1.357 loss_D: 0.683 
(epoch: 65, iters: 200, time: 0.125, data:2.459) loss_G: 1.083 loss_D: 0.683 
(epoch: 65, iters: 400, time: 0.120, data:19.180) loss_G: 1.304 loss_D: 0.692 
(epoch: 65, iters: 600, time: 0.125, data:35.921) loss_G: 1.165 loss_D: 0.679 
(epoch: 66, iters: 200, time: 0.125, data:2.599) loss_G: 1.221 loss_D: 0.680 
(epoch: 66, iters: 400, time: 0.125, data:19.370) loss_G: 1.519 loss_D: 0.657 
(epoch: 66, iters: 600, time: 0.125, data:36.081) loss_G: 1.382 loss_D: 0.674 
(epoch: 67, iters: 200, time: 0.125, data:2.479) loss_G: 2.243 loss_D: 0.642 
(epoch: 67, iters: 400, time: 0.125, data:19.210) loss_G: 1.303 loss_D: 0.694 
(epoch: 67, iters: 600, time: 0.125, data:35.991) loss_G: 1.180 loss_D: 0.682 
(epoch: 68, iters: 200, time: 0.125, data:2.479) loss_G: 1.496 loss_D: 0.687 
(epoch: 68, iters: 400, time: 0.120, data:19.240) loss_G: 1.583 loss_D: 0.691 
(epoch: 68, iters: 600, time: 0.125, data:35.961) loss_G: 1.547 loss_D: 0.658 
(epoch: 69, iters: 200, time: 0.125, data:2.479) loss_G: 1.591 loss_D: 0.698 
(epoch: 69, iters: 400, time: 0.125, data:19.250) loss_G: 1.496 loss_D: 0.671 
(epoch: 69, iters: 600, time: 0.125, data:35.971) loss_G: 1.191 loss_D: 0.682 
(epoch: 70, iters: 200, time: 0.125, data:2.449) loss_G: 1.309 loss_D: 0.666 
(epoch: 70, iters: 400, time: 0.125, data:19.170) loss_G: 1.451 loss_D: 0.693 
(epoch: 70, iters: 600, time: 0.125, data:35.881) loss_G: 1.304 loss_D: 0.655 
(epoch: 71, iters: 200, time: 0.120, data:2.449) loss_G: 1.432 loss_D: 0.683 
(epoch: 71, iters: 400, time: 0.120, data:19.180) loss_G: 1.456 loss_D: 0.692 
(epoch: 71, iters: 600, time: 0.125, data:35.901) loss_G: 1.167 loss_D: 0.673 
(epoch: 72, iters: 200, time: 0.125, data:2.459) loss_G: 0.965 loss_D: 0.640 
(epoch: 72, iters: 400, time: 0.125, data:19.220) loss_G: 0.796 loss_D: 0.696 
(epoch: 72, iters: 600, time: 0.125, data:35.971) loss_G: 0.902 loss_D: 0.679 
(epoch: 73, iters: 200, time: 0.125, data:2.449) loss_G: 1.193 loss_D: 0.680 
(epoch: 73, iters: 400, time: 0.125, data:19.120) loss_G: 0.910 loss_D: 0.697 
(epoch: 73, iters: 600, time: 0.125, data:35.781) loss_G: 1.165 loss_D: 0.684 
(epoch: 74, iters: 200, time: 0.125, data:2.459) loss_G: 1.403 loss_D: 0.669 
(epoch: 74, iters: 400, time: 0.125, data:19.140) loss_G: 1.452 loss_D: 0.698 
(epoch: 74, iters: 600, time: 0.125, data:35.811) loss_G: 1.514 loss_D: 0.695 
(epoch: 75, iters: 200, time: 0.125, data:2.469) loss_G: 0.955 loss_D: 0.691 
(epoch: 75, iters: 400, time: 0.120, data:19.140) loss_G: 1.355 loss_D: 0.684 
(epoch: 75, iters: 600, time: 0.125, data:35.791) loss_G: 1.313 loss_D: 0.698 
(epoch: 76, iters: 200, time: 0.120, data:2.449) loss_G: 1.125 loss_D: 0.677 
(epoch: 76, iters: 400, time: 0.125, data:19.120) loss_G: 1.291 loss_D: 0.679 
(epoch: 76, iters: 600, time: 0.125, data:35.791) loss_G: 1.146 loss_D: 0.668 
(epoch: 77, iters: 200, time: 0.125, data:2.459) loss_G: 1.338 loss_D: 0.668 
(epoch: 77, iters: 400, time: 0.125, data:19.130) loss_G: 1.150 loss_D: 0.689 
(epoch: 77, iters: 600, time: 0.125, data:35.831) loss_G: 1.798 loss_D: 0.633 
(epoch: 78, iters: 200, time: 0.125, data:2.619) loss_G: 1.613 loss_D: 0.651 
(epoch: 78, iters: 400, time: 0.120, data:19.310) loss_G: 1.235 loss_D: 0.677 
(epoch: 78, iters: 600, time: 0.125, data:35.961) loss_G: 1.359 loss_D: 0.688 
(epoch: 79, iters: 200, time: 0.125, data:2.449) loss_G: 1.224 loss_D: 0.684 
(epoch: 79, iters: 400, time: 0.120, data:19.100) loss_G: 1.112 loss_D: 0.677 
(epoch: 79, iters: 600, time: 0.120, data:35.741) loss_G: 1.294 loss_D: 0.691 
(epoch: 80, iters: 200, time: 0.125, data:2.459) loss_G: 1.185 loss_D: 0.689 
(epoch: 80, iters: 400, time: 0.125, data:19.160) loss_G: 1.341 loss_D: 0.671 
(epoch: 80, iters: 600, time: 0.120, data:35.821) loss_G: 1.521 loss_D: 0.718 
(epoch: 81, iters: 200, time: 0.120, data:2.469) loss_G: 1.508 loss_D: 0.703 
(epoch: 81, iters: 400, time: 0.125, data:19.130) loss_G: 1.233 loss_D: 0.671 
(epoch: 81, iters: 600, time: 0.120, data:35.811) loss_G: 1.264 loss_D: 0.685 
(epoch: 82, iters: 200, time: 0.120, data:2.479) loss_G: 1.130 loss_D: 0.682 
(epoch: 82, iters: 400, time: 0.125, data:19.160) loss_G: 1.052 loss_D: 0.670 
(epoch: 82, iters: 600, time: 0.120, data:35.851) loss_G: 1.248 loss_D: 0.674 
(epoch: 83, iters: 200, time: 0.125, data:2.459) loss_G: 1.343 loss_D: 0.686 
(epoch: 83, iters: 400, time: 0.125, data:19.140) loss_G: 1.108 loss_D: 0.683 
(epoch: 83, iters: 600, time: 0.120, data:35.801) loss_G: 1.097 loss_D: 0.692 
(epoch: 84, iters: 200, time: 0.120, data:2.499) loss_G: 0.986 loss_D: 0.683 
(epoch: 84, iters: 400, time: 0.125, data:19.220) loss_G: 1.132 loss_D: 0.675 
(epoch: 84, iters: 600, time: 0.125, data:35.904) loss_G: 1.135 loss_D: 0.681 
(epoch: 85, iters: 200, time: 0.125, data:2.469) loss_G: 1.193 loss_D: 0.685 
(epoch: 85, iters: 400, time: 0.125, data:19.140) loss_G: 1.509 loss_D: 0.671 
(epoch: 85, iters: 600, time: 0.125, data:35.811) loss_G: 1.150 loss_D: 0.672 
(epoch: 86, iters: 200, time: 0.125, data:2.479) loss_G: 1.700 loss_D: 0.693 
(epoch: 86, iters: 400, time: 0.125, data:19.150) loss_G: 1.010 loss_D: 0.686 
(epoch: 86, iters: 600, time: 0.120, data:35.883) loss_G: 1.295 loss_D: 0.688 
(epoch: 87, iters: 200, time: 0.125, data:2.469) loss_G: 1.433 loss_D: 0.662 
(epoch: 87, iters: 400, time: 0.125, data:19.140) loss_G: 1.094 loss_D: 0.681 
(epoch: 87, iters: 600, time: 0.125, data:35.870) loss_G: 1.361 loss_D: 0.666 
(epoch: 88, iters: 200, time: 0.125, data:2.485) loss_G: 1.146 loss_D: 0.700 
(epoch: 88, iters: 400, time: 0.120, data:19.196) loss_G: 0.996 loss_D: 0.673 
(epoch: 88, iters: 600, time: 0.125, data:35.867) loss_G: 1.352 loss_D: 0.662 
(epoch: 89, iters: 200, time: 0.125, data:2.459) loss_G: 1.456 loss_D: 0.640 
(epoch: 89, iters: 400, time: 0.125, data:19.120) loss_G: 1.716 loss_D: 0.678 
(epoch: 89, iters: 600, time: 0.120, data:35.821) loss_G: 1.263 loss_D: 0.689 
(epoch: 90, iters: 200, time: 0.125, data:2.599) loss_G: 1.330 loss_D: 0.696 
(epoch: 90, iters: 400, time: 0.125, data:19.290) loss_G: 1.350 loss_D: 0.685 
(epoch: 90, iters: 600, time: 0.120, data:35.971) loss_G: 1.215 loss_D: 0.678 
(epoch: 91, iters: 200, time: 0.125, data:2.479) loss_G: 1.068 loss_D: 0.670 
(epoch: 91, iters: 400, time: 0.120, data:19.180) loss_G: 1.373 loss_D: 0.665 
(epoch: 91, iters: 600, time: 0.120, data:35.841) loss_G: 1.339 loss_D: 0.652 
(epoch: 92, iters: 200, time: 0.120, data:2.469) loss_G: 1.178 loss_D: 0.683 
(epoch: 92, iters: 400, time: 0.120, data:19.140) loss_G: 1.131 loss_D: 0.685 
